Paid_By,Payee,2020,Total
Total,,148380.55,148380.55000000002
Fight for Austin,VICTORY SOLUTION,122857.8,122857.8
Fight for Austin,"IHEARTMEDIA, INC",10000.0,10000.0
Fight for Austin,Hennig Productions,8010.0,8010.0
Fight for Austin,Left Hand Design Austin,3464.0,3464.0
Fight for Austin,Compose Digital Design,1500.0,1500.0
Fight for Austin,"Davidson, Donna",815.0,815.0
Fight for Austin,Two Squared Media,750.0,750.0
Fight for Austin,Mailchimp,700.3499999999999,700.3499999999999
Fight for Austin,GODADDY.COM,283.4,283.4
